ADM1_EN,PopGroup,NSO,WorldPop
Avtonomna Respublika Krym,F_T,1052288,1161632
Avtonomna Respublika Krym,M_T,889617,967950
Avtonomna Respublika Krym,TotalPop,1941905,2129582
Avtonomna Respublika Krym,F0_4,53789,57747
Avtonomna Respublika Krym,F5_9,58704,58406
Avtonomna Respublika Krym,F10_14,52819,53034
Avtonomna Respublika Krym,F15_19,40733,40177
Avtonomna Respublika Krym,F20_24,42968,49003
Avtonomna Respublika Krym,F25_29,58806,66793
Avtonomna Respublika Krym,F30_34,81853,86356
Avtonomna Respublika Krym,F35_39,80305,86875
Avtonomna Respublika Krym,F40_44,71782,80583
Avtonomna Respublika Krym,F45_49,67901,81094
Avtonomna Respublika Krym,F50_54,67194,77604
Avtonomna Respublika Krym,F55_59,80050,94128
Avtonomna Respublika Krym,F60_64,79180,89617
Avtonomna Respublika Krym,F65_69,71612,79219
Avtonomna Respublika Krym,F70_74,50604,58084
Avtonomna Respublika Krym,F75_79,36753,40331
Avtonomna Respublika Krym,F80Plus,57235,62582
Avtonomna Respublika Krym,M0_4,56979,61894
Avtonomna Respublika Krym,M5_9,62190,61328
Avtonomna Respublika Krym,M10_14,55504,55791
Avtonomna Respublika Krym,M15_19,42228,42323
Avtonomna Respublika Krym,M20_24,43524,50898
Avtonomna Respublika Krym,M25_29,61458,69856
Avtonomna Respublika Krym,M30_34,84016,90183
Avtonomna Respublika Krym,M35_39,81982,82683
Avtonomna Respublika Krym,M40_44,67533,72665
Avtonomna Respublika Krym,M45_49,59338,68786
Avtonomna Respublika Krym,M50_54,54152,62604
Avtonomna Respublika Krym,M55_59,60216,69615
Avtonomna Respublika Krym,M60_64,53839,60850
Avtonomna Respublika Krym,M65_69,43616,47478
Avtonomna Respublika Krym,M70_74,26216,30216
Avtonomna Respublika Krym,M75_79,16073,18708
Avtonomna Respublika Krym,M80Plus,20753,22072
Avtonomna Respublika Krym,T0_4,110768,119641
Avtonomna Respublika Krym,T5_9,120894,119734
Avtonomna Respublika Krym,T10_14,108323,108825
Avtonomna Respublika Krym,T15_19,82961,82500
Avtonomna Respublika Krym,T20_24,86492,99901
Avtonomna Respublika Krym,T25_29,120264,136649
Avtonomna Respublika Krym,T30_34,165869,176539
Avtonomna Respublika Krym,T35_39,162287,169558
Avtonomna Respublika Krym,T40_44,139315,153247
Avtonomna Respublika Krym,T45_49,127239,149880
Avtonomna Respublika Krym,T50_54,121346,140208
Avtonomna Respublika Krym,T55_59,140266,163743
Avtonomna Respublika Krym,T60_64,133019,150466
Avtonomna Respublika Krym,T65_69,115228,126697
Avtonomna Respublika Krym,T70_74,76820,88300
Avtonomna Respublika Krym,T75_79,52826,59039
Avtonomna Respublika Krym,T80Plus,77988,84654
Cherkaska,F_T,642121,649383
Cherkaska,M_T,546387,536871
Cherkaska,TotalPop,1188508,1186254
Cherkaska,F0_4,22604,26170
Cherkaska,F5_9,29311,28498
Cherkaska,F10_14,27849,30947
Cherkaska,F15_19,23694,25009
Cherkaska,F20_24,28326,26719
Cherkaska,F25_29,37681,34221
Cherkaska,F30_34,47135,43105
Cherkaska,F35_39,44878,48982
Cherkaska,F40_44,43287,48284
Cherkaska,F45_49,46580,45364
Cherkaska,F50_54,44318,40276
Cherkaska,F55_59,49787,46291
Cherkaska,F60_64,46696,49293
Cherkaska,F65_69,44643,49007
Cherkaska,F70_74,33746,37338
Cherkaska,F75_79,28509,25259
Cherkaska,F80Plus,43077,44619
Cherkaska,M0_4,24508,28347
Cherkaska,M5_9,31378,29927
Cherkaska,M10_14,29851,32623
Cherkaska,M15_19,25009,26352
Cherkaska,M20_24,29588,27589
Cherkaska,M25_29,39473,34906
Cherkaska,M30_34,49052,42565
Cherkaska,M35_39,45806,46305
Cherkaska,M40_44,40832,44151
Cherkaska,M45_49,41880,40300
Cherkaska,M50_54,38328,34538
Cherkaska,M55_59,40639,35893
Cherkaska,M60_64,34217,35557
Cherkaska,M65_69,28561,30824
Cherkaska,M70_74,19085,20228
Cherkaska,M75_79,12693,12768
Cherkaska,M80Plus,15487,13996
Cherkaska,T0_4,47112,54517
Cherkaska,T5_9,60689,58425
Cherkaska,T10_14,57700,63570
Cherkaska,T15_19,48703,51361
Cherkaska,T20_24,57914,54308
Cherkaska,T25_29,77154,69127
Cherkaska,T30_34,96187,85670
Cherkaska,T35_39,90684,95287
Cherkaska,T40_44,84119,92435
Cherkaska,T45_49,88460,85664
Cherkaska,T50_54,82646,74815
Cherkaska,T55_59,90426,82184
Cherkaska,T60_64,80913,84850
Cherkaska,T65_69,73204,79832
Cherkaska,T70_74,52831,57566
Cherkaska,T75_79,41202,38027
Cherkaska,T80Plus,58564,58615
Chernihivska,F_T,535715,534634
Chernihivska,M_T,447037,434022
Chernihivska,TotalPop,982752,968657
Chernihivska,F0_4,18131,20905
Chernihivska,F5_9,23771,22698
Chernihivska,F10_14,23123,24030
Chernihivska,F15_19,19148,18615
Chernihivska,F20_24,21460,20812
Chernihivska,F25_29,29757,27178
Chernihivska,F30_34,39275,34570
Chernihivska,F35_39,36183,38244
Chernihivska,F40_44,35947,36211
Chernihivska,F45_49,35882,35513
Chernihivska,F50_54,35181,33307
Chernihivska,F55_59,41197,40616
Chernihivska,F60_64,42922,41077
Chernihivska,F65_69,38812,38387
Chernihivska,F70_74,28888,30934
Chernihivska,F75_79,22450,22865
Chernihivska,F80Plus,43588,48671
Chernihivska,M0_4,19103,21911
Chernihivska,M5_9,24806,23681
Chernihivska,M10_14,24032,25236
Chernihivska,M15_19,20376,19906
Chernihivska,M20_24,22333,21850
Chernihivska,M25_29,31427,30673
Chernihivska,M30_34,42324,35976
Chernihivska,M35_39,41822,36045
Chernihivska,M40_44,33657,33999
Chernihivska,M45_49,32342,31881
Chernihivska,M50_54,30418,27973
Chernihivska,M55_59,32194,31995
Chernihivska,M60_64,30417,29111
Chernihivska,M65_69,24528,23235
Chernihivska,M70_74,14881,15142
Chernihivska,M75_79,8903,10381
Chernihivska,M80Plus,13474,15027
Chernihivska,T0_4,37234,42816
Chernihivska,T5_9,48577,46379
Chernihivska,T10_14,47155,49266
Chernihivska,T15_19,39524,38521
Chernihivska,T20_24,43793,42662
Chernihivska,T25_29,61184,57851
Chernihivska,T30_34,81599,70547
Chernihivska,T35_39,78005,74288
Chernihivska,T40_44,69604,70211
Chernihivska,T45_49,68224,67394
Chernihivska,T50_54,65599,61280
Chernihivska,T55_59,73391,72611
Chernihivska,T60_64,73339,70188
Chernihivska,T65_69,63340,61622
Chernihivska,T70_74,43769,46076
Chernihivska,T75_79,31353,33247
Chernihivska,T80Plus,57062,63698
Chernivetska,F_T,475215,454765
Chernivetska,M_T,423352,397404
Chernivetska,TotalPop,898567,852169
Chernivetska,F0_4,22841,23844
Chernivetska,F5_9,27471,25400
Chernivetska,F10_14,25020,27689
Chernivetska,F15_19,22999,23107
Chernivetska,F20_24,27498,21915
Chernivetska,F25_29,32012,26849
Chernivetska,F30_34,36779,34726
Chernivetska,F35_39,37644,35370
Chernivetska,F40_44,33287,32678
Chernivetska,F45_49,31600,29775
Chernivetska,F50_54,29963,26979
Chernivetska,F55_59,32299,29607
Chernivetska,F60_64,31102,29175
Chernivetska,F65_69,26351,28854
Chernivetska,F70_74,19208,18502
Chernivetska,F75_79,16901,14948
Chernivetska,F80Plus,22240,25348
Chernivetska,M0_4,24255,25456
Chernivetska,M5_9,29146,27054
Chernivetska,M10_14,26594,28765
Chernivetska,M15_19,24229,23522
Chernivetska,M20_24,28294,22181
Chernivetska,M25_29,32223,26526
Chernivetska,M30_34,36826,34336
Chernivetska,M35_39,35910,34833
Chernivetska,M40_44,32549,31911
Chernivetska,M45_49,30166,27683
Chernivetska,M50_54,27287,23777
Chernivetska,M55_59,27275,23702
Chernivetska,M60_64,23458,21557
Chernivetska,M65_69,17664,18221
Chernivetska,M70_74,11011,10318
Chernivetska,M75_79,7941,7481
Chernivetska,M80Plus,8524,10081
Chernivetska,T0_4,47096,49300
Chernivetska,T5_9,56617,52454
Chernivetska,T10_14,51614,56454
Chernivetska,T15_19,47228,46629
Chernivetska,T20_24,55792,44096
Chernivetska,T25_29,64235,53375
Chernivetska,T30_34,73605,69062
Chernivetska,T35_39,73554,70203
Chernivetska,T40_44,65836,64589
Chernivetska,T45_49,61766,57458
Chernivetska,T50_54,57250,50756
Chernivetska,T55_59,59574,53309
Chernivetska,T60_64,54560,50732
Chernivetska,T65_69,44015,47075
Chernivetska,T70_74,30219,28820
Chernivetska,T75_79,24842,22428
Chernivetska,T80Plus,30764,35428
Dnipropetrovska,F_T,1724175,1735151
Dnipropetrovska,M_T,1449164,1436680
Dnipropetrovska,TotalPop,3173339,3171831
Dnipropetrovska,F0_4,67548,79280
Dnipropetrovska,F5_9,87396,83723
Dnipropetrovska,F10_14,82924,76895
Dnipropetrovska,F15_19,65070,62638
Dnipropetrovska,F20_24,69482,72670
Dnipropetrovska,F25_29,97680,96765
Dnipropetrovska,F30_34,131601,128969
Dnipropetrovska,F35_39,132503,133528
Dnipropetrovska,F40_44,122099,127100
Dnipropetrovska,F45_49,119009,121837
Dnipropetrovska,F50_54,112405,114546
Dnipropetrovska,F55_59,134961,130799
Dnipropetrovska,F60_64,130179,129368
Dnipropetrovska,F65_69,116876,120805
Dnipropetrovska,F70_74,84360,95959
Dnipropetrovska,F75_79,67878,63962
Dnipropetrovska,F80Plus,102204,96307
Dnipropetrovska,M0_4,71338,84874
Dnipropetrovska,M5_9,92765,88663
Dnipropetrovska,M10_14,87860,81940
Dnipropetrovska,M15_19,69973,67016
Dnipropetrovska,M20_24,74618,77432
Dnipropetrovska,M25_29,103504,100472
Dnipropetrovska,M30_34,135659,131382
Dnipropetrovska,M35_39,134099,128079
Dnipropetrovska,M40_44,115623,115368
Dnipropetrovska,M45_49,106002,102271
Dnipropetrovska,M50_54,91551,91979
Dnipropetrovska,M55_59,100969,96529
Dnipropetrovska,M60_64,87431,86697
Dnipropetrovska,M65_69,69569,68618
Dnipropetrovska,M70_74,42165,48070
Dnipropetrovska,M75_79,27001,31266
Dnipropetrovska,M80Plus,39037,36024
Dnipropetrovska,T0_4,138886,164153
Dnipropetrovska,T5_9,180161,172387
Dnipropetrovska,T10_14,170784,158835
Dnipropetrovska,T15_19,135043,129654
Dnipropetrovska,T20_24,144100,150102
Dnipropetrovska,T25_29,201184,197237
Dnipropetrovska,T30_34,267260,260351
Dnipropetrovska,T35_39,266602,261607
Dnipropetrovska,T40_44,237722,242467
Dnipropetrovska,T45_49,225011,224108
Dnipropetrovska,T50_54,203956,206524
Dnipropetrovska,T55_59,235930,227328
Dnipropetrovska,T60_64,217610,216064
Dnipropetrovska,T65_69,186445,189423
Dnipropetrovska,T70_74,126525,144029
Dnipropetrovska,T75_79,94879,95228
Dnipropetrovska,T80Plus,141241,132331
Donetska,F_T,2247650,2257951
Donetska,M_T,1871273,1845786
Donetska,TotalPop,4118923,4103736
Donetska,F0_4,39772,90381
Donetska,F5_9,94988,95625
Donetska,F10_14,95805,91742
Donetska,F15_19,72845,74268
Donetska,F20_24,80174,88613
Donetska,F25_29,113581,126906
Donetska,F30_34,167437,169923
Donetska,F35_39,175521,170537
Donetska,F40_44,158783,159022
Donetska,F45_49,152478,154103
Donetska,F50_54,143336,154659
Donetska,F55_59,180531,180857
Donetska,F60_64,183406,176985
Donetska,F65_69,168775,157375
Donetska,F70_74,119572,128362
Donetska,F75_79,97966,90455
Donetska,F80Plus,202680,148137
Donetska,M0_4,42924,96314
Donetska,M5_9,101631,101363
Donetska,M10_14,101731,97255
Donetska,M15_19,78178,79253
Donetska,M20_24,86449,93978
Donetska,M25_29,123260,131311
Donetska,M30_34,176430,168150
Donetska,M35_39,175364,163053
Donetska,M40_44,152844,144412
Donetska,M45_49,137386,129171
Donetska,M50_54,119360,125358
Donetska,M55_59,140356,135352
Donetska,M60_64,131625,121418
Donetska,M65_69,107315,89744
Donetska,M70_74,65280,63675
Donetska,M75_79,43226,44664
Donetska,M80Plus,87914,61316
Donetska,T0_4,82696,186694
Donetska,T5_9,196619,196988
Donetska,T10_14,197536,188997
Donetska,T15_19,151023,153521
Donetska,T20_24,166623,182591
Donetska,T25_29,236841,258217
Donetska,T30_34,343867,338073
Donetska,T35_39,350885,333589
Donetska,T40_44,311627,303433
Donetska,T45_49,289864,283274
Donetska,T50_54,262696,280017
Donetska,T55_59,320887,316209
Donetska,T60_64,315031,298403
Donetska,T65_69,276090,247120
Donetska,T70_74,184852,192037
Donetska,T75_79,141192,135118
Donetska,T80Plus,290594,209453
Ivano-Frankivska,F_T,719570,740105
Ivano-Frankivska,M_T,645801,652463
Ivano-Frankivska,TotalPop,1365371,1392568
Ivano-Frankivska,F0_4,32943,38747
Ivano-Frankivska,F5_9,40669,42559
Ivano-Frankivska,F10_14,39185,44808
Ivano-Frankivska,F15_19,34108,36095
Ivano-Frankivska,F20_24,39557,35247
Ivano-Frankivska,F25_29,49322,42662
Ivano-Frankivska,F30_34,56061,55182
Ivano-Frankivska,F35_39,55405,55839
Ivano-Frankivska,F40_44,48531,53573
Ivano-Frankivska,F45_49,47887,50009
Ivano-Frankivska,F50_54,45872,46125
Ivano-Frankivska,F55_59,51852,47773
Ivano-Frankivska,F60_64,49514,44454
Ivano-Frankivska,F65_69,38194,48417
Ivano-Frankivska,F70_74,29465,28972
Ivano-Frankivska,F75_79,24379,26245
Ivano-Frankivska,F80Plus,36626,43397
Ivano-Frankivska,M0_4,35278,41235
Ivano-Frankivska,M5_9,42989,44851
Ivano-Frankivska,M10_14,41430,47109
Ivano-Frankivska,M15_19,36014,37662
Ivano-Frankivska,M20_24,40751,36861
Ivano-Frankivska,M25_29,50814,43801
Ivano-Frankivska,M30_34,58478,55477
Ivano-Frankivska,M35_39,53958,56417
Ivano-Frankivska,M40_44,48386,52530
Ivano-Frankivska,M45_49,46098,47327
Ivano-Frankivska,M50_54,42386,40744
Ivano-Frankivska,M55_59,43939,39984
Ivano-Frankivska,M60_64,38107,33197
Ivano-Frankivska,M65_69,26122,31585
Ivano-Frankivska,M70_74,16906,15724
Ivano-Frankivska,M75_79,11362,12332
Ivano-Frankivska,M80Plus,12783,15627
Ivano-Frankivska,T0_4,68221,79982
Ivano-Frankivska,T5_9,83658,87410
Ivano-Frankivska,T10_14,80615,91917
Ivano-Frankivska,T15_19,70122,73757
Ivano-Frankivska,T20_24,80308,72108
Ivano-Frankivska,T25_29,100136,86462
Ivano-Frankivska,T30_34,114539,110660
Ivano-Frankivska,T35_39,109363,112256
Ivano-Frankivska,T40_44,96917,106103
Ivano-Frankivska,T45_49,93985,97337
Ivano-Frankivska,T50_54,88258,86869
Ivano-Frankivska,T55_59,95791,87757
Ivano-Frankivska,T60_64,87621,77651
Ivano-Frankivska,T65_69,64316,80001
Ivano-Frankivska,T70_74,46371,44696
Ivano-Frankivska,T75_79,35741,38578
Ivano-Frankivska,T80Plus,49409,59025
Kharkivska,F_T,1417308,1423232
Kharkivska,M_T,1225517,1198292
Kharkivska,TotalPop,2642825,2621524
Kharkivska,F0_4,51603,58251
Kharkivska,F5_9,64295,61334
Kharkivska,F10_14,60000,58599
Kharkivska,F15_19,57134,53646
Kharkivska,F20_24,65809,62294
Kharkivska,F25_29,81028,79667
Kharkivska,F30_34,107386,108924
Kharkivska,F35_39,112959,112466
Kharkivska,F40_44,102504,105331
Kharkivska,F45_49,99694,98896
Kharkivska,F50_54,92013,94661
Kharkivska,F55_59,109698,111364
Kharkivska,F60_64,109116,115303
Kharkivska,F65_69,100062,95861
Kharkivska,F70_74,74848,73231
Kharkivska,F75_79,47986,50690
Kharkivska,F80Plus,81173,82714
Kharkivska,M0_4,55496,62068
Kharkivska,M5_9,68277,65278
Kharkivska,M10_14,64053,61517
Kharkivska,M15_19,59993,57883
Kharkivska,M20_24,74723,68417
Kharkivska,M25_29,89597,84820
Kharkivska,M30_34,111120,116037
Kharkivska,M35_39,120080,111043
Kharkivska,M40_44,101348,98754
Kharkivska,M45_49,92056,86194
Kharkivska,M50_54,78867,76005
Kharkivska,M55_59,84991,81480
Kharkivska,M60_64,74109,79065
Kharkivska,M65_69,60101,58373
Kharkivska,M70_74,39790,38428
Kharkivska,M75_79,20834,24582
Kharkivska,M80Plus,30082,28350
Kharkivska,T0_4,107099,120319
Kharkivska,T5_9,132572,126612
Kharkivska,T10_14,124053,120116
Kharkivska,T15_19,117127,111529
Kharkivska,T20_24,140532,130711
Kharkivska,T25_29,170625,164487
Kharkivska,T30_34,218506,224961
Kharkivska,T35_39,233039,223509
Kharkivska,T40_44,203852,204085
Kharkivska,T45_49,191750,185090
Kharkivska,T50_54,170880,170666
Kharkivska,T55_59,194689,192844
Kharkivska,T60_64,183225,194368
Kharkivska,T65_69,160163,154234
Kharkivska,T70_74,114638,111659
Kharkivska,T75_79,68820,75272
Kharkivska,T80Plus,111255,111064
Khersonska,F_T,549870,559444
Khersonska,M_T,476611,474852
Khersonska,TotalPop,1026481,1034296
Khersonska,F0_4,23548,26865
Khersonska,F5_9,29199,28562
Khersonska,F10_14,27502,29109
Khersonska,F15_19,22528,22506
Khersonska,F20_24,24796,24217
Khersonska,F25_29,32756,31389
Khersonska,F30_34,41990,39809
Khersonska,F35_39,40145,42569
Khersonska,F40_44,37541,40905
Khersonska,F45_49,37763,39562
Khersonska,F50_54,36475,35682
Khersonska,F55_59,42124,43450
Khersonska,F60_64,40857,40775
Khersonska,F65_69,37023,37693
Khersonska,F70_74,25694,29255
Khersonska,F75_79,21213,18571
Khersonska,F80Plus,28716,28525
Khersonska,M0_4,25312,28562
Khersonska,M5_9,31225,29937
Khersonska,M10_14,28823,30327
Khersonska,M15_19,24351,24391
Khersonska,M20_24,26308,25716
Khersonska,M25_29,35134,32840
Khersonska,M30_34,44988,40310
Khersonska,M35_39,40445,41544
Khersonska,M40_44,36470,37879
Khersonska,M45_49,34343,34944
Khersonska,M50_54,30961,30018
Khersonska,M55_59,33378,33405
Khersonska,M60_64,29206,29407
Khersonska,M65_69,23511,22592
Khersonska,M70_74,13821,15206
Khersonska,M75_79,8517,8741
Khersonska,M80Plus,9818,9031
Khersonska,T0_4,48860,55427
Khersonska,T5_9,60424,58498
